laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs
SEL-100 PW,Planned,,HY,Shanghai Institute of Optics and Fine Mechanics,China,Commissioning / Partial or design value,O,100000000000000000,8.000000000000001e-07,N/A,N/A,3000,30
GEKKO-EXA / J-EPoCH,Concept / technology development,GEKKO XII - Grokipedia,OP,"Institute of Laser Engineering, Osaka University",Japan,Design / Not demonstrated,N,50000000000000000,9.100000000000001e-07,N/A,N/A,500,10
NSF OPAL / EP-OPAL,Design/prototyping phase,https://nsf-opal.rochester.edu/capabilities/ ; https://www.osti.gov/pages/biblio/2573036,OP,"University of Rochester, Laboratory for Laser Energetics",USA,Design / Not demonstrated,N,25000000000000000,9.200000000000001e-07,N/A,N/A,500,20
Vulcan 20-20,Target late 2020s; not yet demonstrated,Mace | Building one of the world’s most powerful lasers,OP,"Central Laser Facility, STFC Rutherford Appleton Laboratory",United Kingdom,Commissioning / Partial or design value,O,20000000000000000,9.100000000000001e-07,0.0033333333333333335,N/A,400,20
SULF (Shanghai Superintense Ultrafast Laser Facility),2020,Overview--Shanghai Superintense Ultrafast Laser Facility ; 10.1017/hpl.2022.17 ; https://doi.org/10.1017/hpl.2022.17,SS,Shanghai Institute of Optics and Fine Mechanics (SIOM) / ShanghaiTech University,China,Commissioning / Partial or design value,O,12800000000000000,8.08e-07,0.016666666666666666,20000000000000001811939328,339,26.5
High-Power Laser System (HPLS),2022,https://doi.org/10.1017/hpl.2022.11,HY,"Magurele, Romania",Romania,Operational / Demonstrated,Y,10200000000000000,8.200000000000001e-07,0.016666666666666666,N/A,251.3,21.7
ELI Beamlines L4 ATON,2025,ELI’s L4 ATON Laser Reaches 5 Petawatt Output | Business | Oct 2025 | Photonics Spectra ; https://www.eli-laser.eu/news/eli-s-l4-aton-laser-achieves-5-petawatt/,OP,"ELI Beamlines, ELI ERIC",Czech Republic,Commissioning / Partial or design value,O,10000000000000000,1.0530000000000001e-06,0.016666666666666666,N/A,1500,150
Apollon,2 PW demonstrated; 8-10 PW commissioning goal,APOLLON: a multi-PW laser facility (Conference Presentation) ; https://doi.org/10.1063/5.0262312,HY,LULI / CNRS / CEA / École Polytechnique / Université Paris-Saclay,France,Commissioning / Partial or design value,O,10000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,150,15
ELI-NP 10 PW Beamline,2019,"World's most powerful laser, developed by Thales and ELI-NP, achieves record power level of 10 PW | Laser Focus World ; https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7F68E8E791BE58DAD69566A9DD53A96B/S2095471922000111a.pdf/10-pw-peak-power-femtosecond-laser-pulses-at-eli-np.pdf ; https://doi.org/10.1017/hpl.2022.11 ; 10.1017/hpl.2022.11",SS,Extreme Light Infrastructure - Nuclear Physics,Romania,Operational / Demonstrated,Y,10000000000000000,8.200000000000001e-07,0.016666666666666666,N/A,250,25
SULF Prototype,2016,10.1364/OE.25.005169,SS,SIOM / ShanghaiTech,China,Commissioning / In progress,O,5400000000000000,8.000000000000001e-07,N/A,N/A,192.3,24
Chinese Academy of Engineering Physics PW Laser,2017,https://doi.org/10.1364/OL.42.002014 ; 10.1364/OL.42.002014,HY,"Mianyang, China",China,Operational / Demonstrated,Y,4900000000000000,8.000000000000001e-07,N/A,N/A,91.1,18.6
CoReLS 4 PW,2017,10.1364/OL.42.002058 ; https://doi.org/10.1364/OL.42.002058; https://opg.optica.org/spotlight/spotlight-modal.cfm?id=366646 ; https://doi.org/10.1364/OL.42.002058,HY,IBS CoReLS / GIST,South Korea,Operational / Demonstrated,Y,4200000000000000,8.000000000000001e-07,0.1,1000000000000000013287555072,83,19.4
LAP (TDLI),Commissioning,https://tdli.sjtu.edu.cn/en/research/astronomy-and-astrophysics-division/active,SS,Tsinghua University,China,Commissioning / Partial or design value,O,3000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,75,25
CLAPA-II,Commissioning,The 2 PW/1 Hz laser system for laser-driven proton tumor therapy facility CLAPA-II: Compact laser plasma accelerator II.,SS,Peking University,China,Commissioning / In progress,O,2000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,50,25
Qiangguang,2012,10.1364/OE.21.029231,SS,SIOM State Key Lab,China,Design / Not demonstrated,N,2000000000000000,8.000000000000001e-07,N/A,N/A,52,26
HF-2PW Arm,2023,https://ieeexplore.ieee.org/abstract/document/10231672; https://opg.optica.org/abstract.cfm?uri=ASSL-2023-AM3A.2,OP,"Szeged, Hungary",Hungary,Commissioning / Partial or design value,O,2000000000000000,8.000000000000001e-07,10,N/A,34,25000000
LFEX,2016,https://doi.org/10.1063/1.4948278 ; https://www.ile.osaka-u.ac.jp/eng/facilities/lfex/index.html,HY,Osaka Univ. ILE,Japan,Operational / Demonstrated,Y,2000000000000000,1.0530000000000001e-06,N/A,N/A,2000,1000
ZEUS,2025,https://doi.org/10.1063/5.0297619 ; The US has a new most powerful laser - Michigan Engineering News ; https://pubs.aip.org/aip/pop/article/32/10/103107/3369107 ; source,SS,University of Michigan / Center for Ultrafast Optical Science,USA,Operational / >2 PW,Y,2000000000000000,8.000000000000001e-07,0.1,N/A,5,25
SG-II 5 PW OPCPA,2018,10.1017/hpl.2018.23 ; https://doi.org/10.1017/hpl.2018.23,OP,SIOM/NLHPLP,China,Design / Not demonstrated,N,1760000000000000,8.000000000000001e-07,0.0002777777777777778,10000000000000000905969664,37,21
Shanghai Institute of Optics and Fine Mechanics 5 PW,2018,https://doi.org/10.1017/hpl.2018.23,OP,"Shanghai, China",China,Operational / Demonstrated,Y,1760000000000000,8.08e-07,0.0002777777777777778,N/A,37,21
SG-II PW,2015,,SS,"Shanghai Institute of Optics and Fine Mechanics (SIOM), CAS",China,Operational / Demonstrated,Y,1500000000000000,8.000000000000001e-07,0.016666666666666666,N/A,45,30
Nova Petawatt,1996,10.1364/OL.24.000160,SS,LLNL,USA,Operational / Demonstrated,Y,1500000000000000,1.0530000000000001e-06,N/A,N/A,660,440
BELLA,2012,https://doi.org/10.1103/PhysRevLett.122.084801 ; Ref. 40 in paper ; https://doi.org/10.1109/JQE.2017.2708601 ; https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/petawatt-and-exawatt-class-lasers-worldwide/D85E3F002CBFC286C08076E127BB5F5C,SS,"Berkeley, USA",USA,Operational / Demonstrated,Y,1300000000000000,8.000000000000001e-07,1,N/A,40,30
Xtreme Light III (XL-III),2011,https://doi.org/10.1364/OL.36.003194 ; https://doi.org/10.1364/OE.21.029231?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,SS,"Beijing, China",China,Operational / Demonstrated,Y,1160000000000000,8.000000000000001e-07,N/A,N/A,32.3,28
PETAL,2015,https://doi.org/10.1364/OE.25.016957 ; 10.1364/OE.25.016957 ; https://ieeexplore.ieee.org/document/8083903; https://cea.hal.science/cea-01622289,SS,CEA / Laser Mégajoule,France,Operational / Demonstrated,Y,1150000000000000,1.0500000000000001e-06,N/A,N/A,850,7
RRCAT PW,2025,Article DOI ; https://www.icts.res.in/sites/default/files/LPA2017-2017-03-15-Chakera.pdf ; https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/high-power-laser-science-and-engineering-editorial-a-celebration-of-ultrahighpower-lasers/258451A1886C7848CAC5A125B9AB6961,HY,RRCAT Indore,India,Operational / Demonstrated,Y,1100000000000000.1,8.000000000000001e-07,0.1,N/A,25,25
Texas Petawatt,2010,10.1364/AO.49.001676 ; https://doi.org/10.1364/AO.49.001676; https://texaspetawatt.ph.utexas.edu/laser-capabilities.php ; https://doi.org/10.1364/AO.49.001676,HY,Univ. Texas at Austin,USA,Operational / Demonstrated,Y,1100000000000000.1,1.058e-06,0.0002777777777777778,N/A,186,167
SIOM CPA-OPCPA hybrid,2015,10.1364/OL.40.003412,HY,SIOM State Key Lab,China,Operational / Demonstrated,Y,1020000000000000,8.000000000000001e-07,N/A,N/A,45.3,32
SECUF,Commissioning,https://english.iop.cas.cn/rs/lsf/secuf/,SS,ShanghaiTech University,China,Commissioning / In progress,O,1000000000000000,8.000000000000001e-07,1,N/A,25,25
SULF 1 PW beamline,2020,https://doi.org/10.1017/hpl.2020.3,SS,Shanghai Superintense Ultrafast Laser Facility,China,Operational,Y,1000000000000000,8.000000000000001e-07,N/A,N/A,50.8,29.6
ATLAS,2005,https://www.pulse.physik.uni-muenchen.de/research/high-power/atlas/index.html,SS,Ludwig Maximilian University Munich,Germany,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,5,N/A,25,25
TRISHUL,Planned,https://amplitude-laser.com/news/the-tata-institute-of-fundamental-research-tifr-has-selected-amplitude-to-provide-the-first-1pw-1hz-laser-system-in-india/,SS,Bhabha Atomic Research Centre (BARC),India,Design / Not demonstrated,N,1000000000000000,8.000000000000001e-07,N/A,N/A,100,100
J-KAREN-P,2018,https://doi.org/10.1364/OL.43.002595 ; 10.1364/OL.43.002595 ; https://doi.org/10.3390/photonics10090997,HY,"Kizugawa, Japan",Japan,Operational / Demonstrated,Y,1000000000000000,8.200000000000001e-07,0.1,100000000000000004764729344,63,30
CETAL,2018,https://www.scientificbulletin.upb.ro/static/pdfs/rez77c_579951.pdf ; https://cetal.inflpr.ro/newsite/equipment,SS,INFLPR Magurele,Romania,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,0.1,N/A,25,25
EXLS,2016,https://doi.org/10.1364/OL.42.002058,SS,IBS CoReLS,South Korea,Design / Not demonstrated,N,1000000000000000,8.000000000000001e-07,0.1,N/A,31,22
VEGA-3,2018,10.1051/epjconf/201816701001 ; https://www.clpu.es/en/laser-vega-pw/,SS,CLPU Salamanca,Spain,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,1,N/A,30,30
Diocles,2012,https://doi.org/10.1117/12.2005008 ; https://www.researching.cn/articles/OJ2151e170fd94be69,SS,Univ. Nebraska-Lincoln,USA,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,0.1,N/A,30,30
