laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs
ARC (NIF),2015,https://nifuserguide.llnl.gov/home/4-laser-system/410-advanced-radiographic-capability-arc; https://www.osti.gov/servlets/purl/1240938 ; https://nifuserguide.llnl.gov/home/4-laser-system/410-advanced-radiographic-capability-arc,SS,"Livermore, USA",USA,Operational / Demonstrated,Y,250000000000000,1.0530000000000001e-06,N/A,N/A,1700,1000
Laboratorio di Laser Intensi (ILIL),2020,https://ilil.ino.cnr.it/en/the-ilil-laser/,SS,"Pisa, Italy",Italy,Operational / Demonstrated,Y,240000000000000,8.000000000000001e-07,N/A,N/A,5.9,25
Arcturus (combined),2015,10.1017/hpl.2015.11,SS,Heinrich Heine Univ. Düsseldorf,Germany,Operational / Demonstrated,Y,233333333333333.28,8.000000000000001e-07,N/A,N/A,7,30
CLAPA (Compact Laser Particle Accelerator),2019,https://link.aps.org/doi/10.1103/PhysRevAccelBeams.22.061302,SS,"Beijing, China",China,Design / Not demonstrated,N,200000000000000,8.000000000000001e-07,N/A,N/A,N/A,N/A
Salle Violette,2025,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.134.045001,SS,"Palaiseau, France",France,Operational / Demonstrated,Y,200000000000000,7.900000000000001e-07,N/A,N/A,N/A,N/A
ANGUS,Not found in included source,https://opg.optica.org/abstract.cfm?uri=CLEO_SI-2017-JTu3L.4,SS,"Hamburg, Germany",Germany,Operational / Demonstrated,Y,200000000000000,8.000000000000001e-07,N/A,N/A,N/A,N/A
JETI200,2017,https://info.fusion.ciemat.es/OCS/EPS2017ABS/pdf/P1.213.pdf; https://www.physik.uni-jena.de/en/436/jeti-200 ; https://www.hi-jena.de/en/helmholtz-institute-jena/about-the-institute/experimental-facilities/local/jeti200-laser,SS,"Jena, Germany",Germany,Operational / Demonstrated,Y,200000000000000,8.000000000000001e-07,N/A,N/A,4,17
POLARIS,2016,10.1364/OL.41.005413 ; https://www.researching.cn/articles/OJdb045c3bd0e7a6c3; https://www.hi-jena.de/en/helmholtz-institute-jena/about-the-institute/experimental-facilities/local/polaris ; https://www.hi-jena.de/en/helmholtz-institute-jena/about-the-institute/experimental-facilities/local/polaris,SS,Helmholtz Institute Jena,Germany,Design / Not demonstrated,N,200000000000000,1.03e-06,50,N/A,54,98
FLAME,2018,https://www.mdpi.com/2076-3417/14/19/8619; https://sparclab.lnf.infn.it/sparc_lab-home/flame-laser/laser-source/,SS,"Frascati, Italy",Italy,Operational / Demonstrated,Y,200000000000000,8.000000000000001e-07,10,N/A,2024,30
Trident,2007,https://laro.lanl.gov/esploro/outputs/9916370215603761,SS,"Los Alamos, USA",USA,Operational / Demonstrated,Y,200000000000000,1.054e-06,N/A,N/A,100,600
LOA 200 TW,2019,10.1017/hpl.2019.36,SS,LOA Palaiseau,France,Operational / Demonstrated,Y,199999999999999.97,8.000000000000001e-07,N/A,N/A,6,30
Titan,2005,https://lasernetus.org/facilities/jupiter-laser-facility ; https://ntrl.ntis.gov/NTRL/dashboard/searchResults/titleDetail/DE2006891736.xhtml,SS,Lawrence Livermore National Laboratory,USA,Operational / Demonstrated,Y,150000000000000,1.0530000000000001e-06,0.0005555555555555556,N/A,130,700
Jupiter Laser Facility (JanUSP),NR,,SS,Lawrence Livermore National Laboratory,,Operational / Demonstrated,Y,100000000000000,8.000000000000001e-07,N/A,N/A,10,100
DRACO,2010,10.1088/1367-2630/12/4/045015 ; https://pmc.ncbi.nlm.nih.gov/articles/PMC8017008/,SS,HZDR Dresden,Germany,Operational / Demonstrated,Y,100000000000000,8.000000000000001e-07,10,N/A,3,30
KALDERA,2025,SPIE-linked listing,SS,DESY / University of Hamburg,Germany,Design / Not demonstrated,N,100000000000000,1.03e-06,1000,N/A,3,30
MAX-BORN-INSTITUT für Nichtlineare Optik und Kurzzeitspektroskopie,2017,https://publicatio.bibl.u-szeged.hu/27130/1/3305194.pdf; https://publicatio.bibl.u-szeged.hu/27213/1/3172441.pdf,SS,"Berlin, Germany",Germany,Operational / Demonstrated,Y,100000000000000,8.000000000000001e-07,10,N/A,2.8,28
*ISKRA-5,1989,https://www.cambridge.org/core/journals/laser-and-particle-beams/article/abs/high-power-laser-system-iskra-v/32CE557154B3FC70571C43EFF7A6BF32,SS,"Sarov, Russia",Russia,Operational / Demonstrated,Y,100000000000000,1.0530000000000001e-06,N/A,N/A,30000,250000
BESTIA,2017,https://doi.org/10.1063/1.4975920; https://www.osti.gov/biblio/1335441,GAS,"Upton, USA",USA,Design / Not demonstrated,N,100000000000000,1e-05,N/A,N/A,100,100
SG-III Laser Facility,2015,https://doi.org/10.1017/hpl.2016.20,SS,China Academy of Engineering Physics,China,Operational / ICF Research Platform,Y,60000000000000,3.51e-07,N/A,N/A,180000,3
PALS (Prague Asterix Laser System),2011,https://doi.org/10.1117/12.899051,SS,"Prague, Czechia",Czech Republic,Design / Not demonstrated,N,50000000000000,1.3150000000000001e-06,10,N/A,0.9,40
OMEGA 60-beam Laser System,1995,https://www.lle.rochester.edu/omega-laser-facility/omega-laser-system/,SS,"Laboratory for Laser Energetics, University of Rochester",USA,Operational,Y,30000000000000,3.51e-07,N/A,N/A,3,2050000
LCLS MEC short-pulse laser,2015,https://lcls.slac.stanford.edu/instruments/mec/specifications,SS,"Linac Coherent Light Source / MEC, SLAC",USA,Operational / XFEL-Coupled User Instrument,Y,25000000000000,8.000000000000001e-07,N/A,399999999999999966445568,1,4
